# MJD		u   err	    g     err     r     err    i      err    B      err    V      err
2453389.79  16.727 0.016  16.718 0.011  16.771 0.009  16.897 0.013  16.809 0.013  16.756 0.011  
2453390.81  16.720 0.020  16.724 0.014  16.752 0.012  16.878 0.014  16.802 0.015  16.758 0.014  
2453391.74  16.824 0.017  16.746 0.011  16.760 0.010  16.872 0.013  16.849 0.013  16.774 0.012  
2453393.79  16.953 0.022  16.784 0.012  16.746 0.011  16.908 0.014  16.900 0.016  16.768 0.015  
2453395.77  17.065 0.022  16.827 0.014  16.770 0.013  16.888 0.015  16.939 0.019  16.815 0.019  
2453397.81  17.262 0.021  16.853 0.013  16.763 0.013  16.884 0.014  17.006 0.018  16.828 0.014  
2453402.79  17.812 0.023  16.981 0.011  16.761 0.012  16.886 0.013  17.210 0.013  16.863 0.013  
2453403.78  17.957 0.024  17.000 0.012  16.753 0.008  16.877 0.012  17.281 0.013  16.876 0.012  
2453404.80  18.062 0.023  17.049 0.011  16.765 0.013  16.860 0.013  17.302 0.016  16.894 0.013  
2453406.80  18.374 0.037  17.128 0.013  16.793 0.013  16.897 0.014  17.451 0.015  16.924 0.012  
2453407.81  18.449 0.048  17.171 0.012  16.786 0.012  16.898 0.012  17.489 0.014  16.954 0.013  
2453408.78  18.623 0.045  17.221 0.014  16.815 0.013  16.890 0.016  17.552 0.015  16.993 0.015  
2453409.78  18.668 0.046  17.243 0.014  16.822 0.012  16.905 0.013  17.597 0.018  16.973 0.017  
2453410.80  18.860 0.050  17.284 0.012  16.828 0.012  16.895 0.013  17.658 0.016  17.037 0.014  
2453411.83  18.972 0.037  17.303 0.013  16.853 0.011  16.911 0.013  17.701 0.016  17.048 0.013  
2453412.80  19.060 0.048  17.377 0.012  16.847 0.011  16.891 0.013  17.770 0.017  17.075 0.013  
2453413.79  18.966 0.064  17.372 0.019  16.849 0.016  16.902 0.015  17.810 0.026  17.096 0.021  
2453414.80  19.183 0.043  17.415 0.014  16.873 0.011  16.933 0.014  17.840 0.018  17.140 0.014  
2453415.83  19.333 0.042  17.460 0.015  16.885 0.013  16.911 0.017  17.844 0.018  17.132 0.016  
2453416.88  19.313 0.045  17.486 0.014  16.917 0.012  16.942 0.013  17.939 0.017  17.147 0.014  
2453417.82  19.448 0.035  17.508 0.015  16.919 0.013  16.930 0.015  17.959 0.016  17.153 0.016  
2453418.83  19.483 0.040  17.546 0.014  16.915 0.019  16.948 0.021  17.980 0.018  17.171 0.016  
2453419.83  19.589 0.034  17.562 0.014  16.926 0.013  16.955 0.013  18.007 0.016  17.209 0.015  
2453420.80  19.657 0.044  17.582 0.014  16.952 0.013  16.978 0.015  18.080 0.018  17.215 0.014  
2453421.84  19.604 0.046  17.624 0.015  16.963 0.013  16.969 0.014  18.099 0.018  17.221 0.015  
2453422.78  19.730 0.066  17.617 0.022  16.934 0.040  16.955 0.056  18.105 0.019  17.261 0.020  
2453424.78  19.928 0.093  17.645 0.027  16.960 0.018  16.960 0.019  18.169 0.030  17.321 0.023  
2453425.72   0.000 0.000  17.773 0.029  17.021 0.018  16.957 0.018  18.209 0.036  17.326 0.024  
2453426.80  20.055 0.185  17.703 0.043  17.033 0.028  16.976 0.037  18.330 0.052  17.258 0.044  
2453427.80   0.000 0.000  17.695 0.034  16.985 0.025  17.020 0.030  18.281 0.047  17.280 0.035  
2453428.75  20.043 0.089  17.723 0.022  17.020 0.013  17.004 0.014  18.280 0.027  17.335 0.021  
2453429.88   0.000 0.000  17.774 0.025  17.032 0.017  17.010 0.014  18.348 0.049  17.327 0.020  
2453431.75  20.254 0.074  17.808 0.017  17.046 0.014  17.023 0.014  18.320 0.021  17.335 0.015  
2453436.71  20.412 0.063  17.854 0.012  17.077 0.010  17.044 0.011  18.464 0.016  17.404 0.014  
2453444.70  20.806 0.076  17.969 0.013  17.112 0.010  17.082 0.012  18.552 0.017  17.466 0.012  
2453445.73  20.850 0.067  17.954 0.015  17.129 0.012  17.079 0.013  18.556 0.017  17.482 0.014  
2453446.74  20.928 0.088  17.966 0.013  17.117 0.010  17.096 0.011  18.595 0.017  17.489 0.013  
2453452.67   0.000 0.000  17.987 0.020  17.165 0.013  17.135 0.014  18.649 0.030  17.516 0.018  
2453453.63   0.000 0.000  18.059 0.025  17.180 0.018  17.136 0.018  18.685 0.038  17.589 0.023  
2453455.71   0.000 0.000  17.967 0.035  17.150 0.016  17.098 0.020  18.710 0.060  17.534 0.029  
2453456.72   0.000 0.000  18.055 0.022  17.182 0.013  17.157 0.015  18.735 0.041  17.568 0.024  
